artist,description,duration,genre,popularity,ranking,sentiment,track,writers,year,black,female,single_genre
Selena,"By 1994, Mexican American star Selena Quintanilla had proven she could hype a crowd with the party-starting glee of “Baila Esta Cumbia,” and just as easily crush a listener with the tenderness of “Como la Flor.” However, as her husband and bandmate, Chris Pérez, once noted, her voice took on a stunning new resonance when she sang about a deep, forbidden love on “Amor Prohibido,” an upbeat cumbia co-written with her brother that mixed modern pop with Tejano sounds. Selena famously ad-libbed “Oh baby” after the refrain, making a song inspired by her grandparents, as well as her own relationship with Perez, even more personal. It became her first Number One solo single.",172626,"['mexican pop', 'tejano']",71,405,"{'compound': 0.9545, 'neg': 0.035, 'neu': 0.783, 'pos': 0.182}",Amor Prohibido',"A.B. Quintanilla III, Pete Astudillo, Selena",1994,False,True,world
Run-DMC,"Rap’s boom-bap Big Bang: On this B side to their first 12-inch (“It’s Like That” was the A), Run-DMC rhymed over a stark break stripped out of an Orange Krush song by their guitarist Davy DMX, inspiring Run’s line, “Davy cut the record down to the bone.” “Sucker MC’s” established the crew as rap’s new kings, turned Queens into the rugged successor to rap’s birthplace, the Bronx, and proved that in hip-hop, melody and other pop niceties were fully optional. “We figured we had very, very good rappers,” co-producer Russell Simmons said, “and we wanted people to appreciate what they did.”",,,,406,"{'compound': 0.9148, 'neg': 0.019, 'neu': 0.837, 'pos': 0.144}",Sucker MC's',"Darryl McDaniels, Joseph Ward Simmons, Lawrence Smith",1984,True,False,other
Lynyrd Skynyrd,"This definitive Southern-rock guitar epic had a humble birth, with late Skynyrd frontman Ronnie Van Zant scribbling lyrics about keeping love alive on tour, while Allen Collins jammed on guitar — although initially, the singer complained Collins used too many chords. “But after a few months,” said guitarist Gary Rossington, “we were sitting around and he asked Allen to play those chords again. After about 20 minutes, Ronnie started singing ‘If I leave here tomorrow,’ and it fit great.” The nine-minute album cut got heavy rock-radio airplay, an edited single reached the pop Top 20, and Skynyrd always encores with it.",547106,"['album rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'mellow gold', 'rock', 'southern rock']",73,407,"{'compound': 0.836, 'neg': 0.055, 'neu': 0.808, 'pos': 0.137}",Free Bird',"Allen Collins, Ronnie Van Zant",1973,False,False,rock
Cat Stevens/Yusuf,"This wisdom-sharing ballad about the strained generation gap between families during the Vietnam War has its origins in a musical Stevens wrote about the Russian Revolution. The project was ultimately shelved, and “Father and Son” became a hit from Tea for the Tillerman, one of the biggest albums of the early-Seventies singer-songwriter boom. “That’s a beautiful thing about the gift of music and what it can do to you,” Stevens, who later changed his name to Yusuf Islam, told Rolling Stone. “It’s really become integral to so many people’s lives.”",221120,"['british folk', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock']",72,408,"{'compound': 0.0516, 'neg': 0.068, 'neu': 0.861, 'pos': 0.071}",Father and Son',Cat Stevens/Yusuf,1970,True,False,rock
Foo Fighters,"A fittingly intimate monument to the alternative era, “Everlong” has become a quasi-official pop-culture envoi, whether it’s been arranged for strings for Monica and Chandler’s wedding on Friends or performed by the Foo Fighters on David Letterman’s final Late Show. No surprise: Dave Grohl came up in the Washington, D.C., hardcore scene, and the signature Foos song was the rare Nineties hit to supersize original Eighties D.C. emocore. Grohl wrote it following his breakup with Louise Post of Veruca Salt; when asked, he would only confirm that it was “about a girl.”",250546,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",77,409,"{'compound': 0.6249, 'neg': 0.036, 'neu': 0.885, 'pos': 0.079}",Everlong',Dave Grohl,1997,False,False,rock
Allman Brothers Band,"The studio version (recorded when author and singer Gregg Allman was 21 years old, and written a year earlier, on the cover of an ironing board as it came to him) clocks in at a comparatively svelte 5:17 on the Allman Brothers’ 1969 debut. Built around Berry Oakley’s bass riff and opening in an unusual 11/4 time signature, it became the stuff of jam-band legend in its sprawling 22:40 live version on 1971’s At the Fillmore East, where it showcased guitarists Duane Allman and Dickey Betts’ bluesy fire and the rhythm section’s jazzy ramble.",317438,"['album rock', 'blues rock', 'classic rock', 'country rock', 'double drumming', 'electric blues', 'folk rock', 'hard rock', 'jam band', 'mellow gold', 'rock', 'roots rock', 'soft rock', 'southern rock']",55,410,"{'compound': -0.34, 'neg': 0.026, 'neu': 0.974, 'pos': 0.0}",Whipping Post',Gregg Allman,1969,False,False,rock
Wilco,"Jeff Tweedy yoked the sweetest melody of Wilco’s career to this openhearted song about making peace with the hair-metal dudes he used to mock in his punk-rock youth. It’s the centerpiece of Wilco’s post-alt-country artistic breakthrough Yankee Hotel Foxtrot: a kicky drum groove, some breezy strumming, randomly accented electronic blips, and Tweedy singing himself a midlife lesson about never giving into easy irony. As he said in 2004, “That song is really just another reminder about not being judgmental and reductive.”",188840,"['alternative country', 'alternative rock', 'chicago indie', 'indie pop', 'indie rock', 'pop rock', 'rock', 'roots rock', 'stomp and holler']",54,411,"{'compound': -0.4482, 'neg': 0.098, 'neu': 0.861, 'pos': 0.041}",Heavy Metal Drummer',Jeff Tweedy,2002,False,False,rock
Neneh Cherry,"“I always try and put an element of rawness — which probably is sex — into what I do,” Neneh Cherry said of her solo smash “Buffalo Stance.” “It’s that something that sends tingles up your spine, that’s the sex in my voice.” A searing dance track featuring the first rapping by a British woman most Americans had heard, the song was inspired by the London designer Ray Petri, who called his streetwear-inspired fashion Buffalo. “To me, a buffalo stance is an attitude you have to have in order to get by,” she told The New York Times. “It’s not about fashion but about survival.”",342360,"['new wave pop', 'urban contemporary']",53,412,"{'compound': 0.2732, 'neg': 0.0, 'neu': 0.979, 'pos': 0.021}",Buffalo Stance',"Cameron McVey, Jamie Morgan, Neneh Cherry, Phil Ramacon",1988,True,True,pop
Them,"When Van Morrison wrote his first hit, “Gloria,” with the Belfast garage band Them, he was just another hungry young rocker, but his gravelly voice sounds years older than he was, and you can already notice the roots of the Celtic R&B mysticism he’d pursue for decades to come. “I was just being me, a street cat from Belfast,” Morrison said. “Probably like thousands of kids from Belfast who were in bands.” A Chicago group called Shadows of Knight hit with a more cautious version in 1966; Morrison later complained that “Gloria” was “capitalized on, a lot.“",156800,"['blues rock', 'british blues', 'british invasion', 'classic garage rock', 'classic rock', 'folk rock', 'merseybeat', 'protopunk', 'psychedelic rock', 'rock', 'rock-and-roll', 'roots rock']",61,413,"{'compound': -0.5704, 'neg': 0.079, 'neu': 0.888, 'pos': 0.032}",Gloria',Van Morrison,1965,False,False,rock
Blondie,"Featuring one of the greatest opening lines in rock — “When I met you in a restaurant/You could tell I was no debutante” — “Dreaming” is both escapist fun and about escapist fun — the kind that doesn’t cost anything. Blondie guitarist-songwriter Chris Stein called “Dreaming,” the shimmering hit from their 1979 album Eat to the Beat, “a mishmash of a lot of things. It really was supposed to be more disco rock than it came out. The bass drum got swamped by the tom-toms.” Drummer Clem Burke later said that he played all those wild roller-coaster fills because he thought the recording was just a warmup take.",188493,"['candy pop', 'new wave', 'new wave pop', 'permanent wave', 'power pop', 'rock']",46,414,"{'compound': 0.9413, 'neg': 0.019, 'neu': 0.822, 'pos': 0.159}",Dreaming',"Debbie Harry, Jimmy Destri",1979,False,False,pop
Depeche Mode,"With a low-slung guitar riff and a lyric delivered by Dave Gahan at his most quaveringly romantic, “Enjoy the Silence” was the Top 10 hit that made Depeche Mode into American superstars, propelling their seventh album, Violator, to triple-platinum status and prompting a near-riot at a SoCal in-store appearance. Originally, “it was kind of half a song,” Gahan said. “And Alan [Wilder] and Flood, who was producing the album, had this idea to put a beat to it.” When Martin Gore added the guitar, Gahan said, “that was it.”",257333,"['dance rock', 'new romantic', 'new wave', 'permanent wave', 'synthpop']",64,415,"{'compound': 0.0972, 'neg': 0.039, 'neu': 0.907, 'pos': 0.054}",Enjoy the Silence',Martin Gore,1990,False,False,rock
Pearl Jam,"This song was the genesis of the band — guitarist Stone Gossard wrote the music, and future singer Eddie Vedder recorded the vocals after hearing a demo — and “Alive” still sounds like Pearl Jam at its wooliest. “It all happened in seven days,” guitarist Mike McCready remembered. “It was very punk rock. Eddie would stay there in the rehearsal studio, writing all night. We’d show up, and there was another song.” Together, Gossard and McCready worked up a maelstrom, while Vedder matched them with a tempestuous vocal as he remembered the difficult days he lived through after learning of the long-hidden identity of his birth parents.",340907,"['alternative rock', 'grunge', 'permanent wave', 'rock']",74,416,"{'compound': 0.0, 'neg': 0.024, 'neu': 0.952, 'pos': 0.024}",Alive',"Stone Gossard, Eddie Vedder",1991,False,False,rock
Mark Ronson feat. Bruno Mars,"The breezy boogie vibes of “Uptown Funk” didn’t come easy. A rehearsal jam at Mars’ Los Angeles studio led to several arduous sessions of trial and error. Mars lifted the “Don’t believe me, just watch” hook from rapper Trinidad James’ hit “All Gold Everything.” Ronson paid homage to Kool and the Gang by using an all-horns chorus featuring Antibalas and the Dap-Kings; he also added a crucial guitar part, while producer Jeff Bhasker contributed synths. After the song became a huge cross-genre hit, its knowing riff on Eighties funk styles also inspired several lawsuits — proof that success has many fathers.",269666,"['dance pop', 'neo soul', 'pop']",81,417,"{'compound': 0.8316, 'neg': 0.04, 'neu': 0.847, 'pos': 0.113}",Uptown Funk',"Charles Wilson, Devon Gallaspy, Jeff Bhasker, Lonnie Simmons, Nicholaus Williams, Peter Hernandez, Philip Lawrence, Robert Wilson, Ronnie Wilson, Rudolph Taylor",2015,False,False,pop
Booker T. and the MGs,"The Stax house band had never considered making its own hits until it cooked up this simmering jam based around an organ line 17-year-old Booker T. Jones had written, “trying to emulate Ray Charles.” As guitarist Steve Cropper recalled, “I said, ‘Shit, this is the best damn instrumental I’ve heard since I don’t know when.'” As for the onions, Cropper explained that “we were trying to think of something that was as funky as possible.” Its original title was “Funky Onions,” but, according to Jones, “It sounded like a cuss word. So we retitled it ‘Green Onions.'”",176333,"['classic soul', 'funk', 'instrumental funk', 'instrumental soul', 'memphis soul', 'soul', 'southern soul']",68,418,"{'compound': 0.6652, 'neg': 0.03, 'neu': 0.895, 'pos': 0.075}",Green Onions',"Al Jackson Jr., Booker T. Jones, Lewie Steinberg, Steve Cropper",1962,True,False,soul
Mariah Carey,"The diva’s big dive into the world of hip-hop is built on a sample from the Tom Tom Club’s “Genius of Love,” further enhanced by a Puff Daddy remix. The rap feature from Ol’ Dirty Bastard was hardly smooth sailing — according to A&R rep Cory Rooney, ODB took three naps while recording his verse, and demanded Moët and Newports to get him in the mood. The rapper’s wild presence unsettled Columbia Records execs, but Carey said she loved the energy he brought: “He was your loving, fun-ass uncle who gets drunk at all the festivities, at Christmas dinner, the cookout, Thanksgiving.”",243493,"['dance pop', 'pop', 'r&b', 'urban contemporary']",73,419,"{'compound': 0.9022, 'neg': 0.088, 'neu': 0.763, 'pos': 0.148}",Fantasy',"Adrian Belew, Christopher Frantz, Dave Hall, Mariah Carey, Steven Stanley, Tina Weymouth",1995,False,True,pop
The Mamas and the Papas,"One frigid winter in Manhattan, a song came to John Phillips in the middle of the night. He woke up his young wife, Michelle, who was homesick for the West Coast, to help him finish writing “California Dreamin’,” one of the all-time sunniest songs of longing. The tune was first recorded by Phillips’ folk group the New Journeymen, and later given to Barry McGuire as a thank-you after McGuire, riding high with “Eve of Destruction,” introduced the group to producer Lou Adler, who convinced the Mamas and the Papas to cut it themselves.",161373,"['brill building pop', 'bubblegum pop', 'classic rock', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'sunshine pop']",1,420,"{'compound': 0.7096, 'neg': 0.05, 'neu': 0.861, 'pos': 0.089}",California Dreamin' ',"John Phillips, Michelle Phillips",1965,False,True,rock
The Smiths,"With its engulfing, molten guitar intro and enormous drums, “How Soon Is Now,” which began life as a B side, grew to become a bona fide club hit for the Smiths. Guitarist Johnny Marr wanted a riff that would be inescapably recognizable: “When [it] plays in a club or a pub,” he said, “everyone knows what it is.” Marr came upon the song’s guitar riff hungover at an afternoon session after producer John Porter asked him to try to replicate the Elvis Presley classic “That’s All Right.” Porter later recalled thinking, “Now we’ve got a band that could be like R.E.M. are now.”",408173,"['madchester', 'new wave', 'permanent wave', 'rock', 'uk post-punk']",68,421,"{'compound': 0.5423, 'neg': 0.0, 'neu': 0.954, 'pos': 0.046}",How Soon Is Now?',"Johnny Marr, Morrissey",1984,False,False,rock
"Craig Mack feat. Notorious B.I.G., LL Cool J, Busta Rhymes, Rampage","Knowing a smash when he heard it, Bad Boy label head Sean “Puffy” Combs purchased the beat — built around an incessant two-note riff and thick drum smack — from producer Easy Moe Bee and used it for Mack, then making his debut. Mack’s remix verses are solid (“Wanna grab my dick/Too lazy/Hold it for me”), but his guests make this perhaps the greatest posse cut of all time. LL is smooth, Busta spits machine-gun fire and Biggie, mere months away from his own debut, drops such gems as “I get more butt than ashtrays,” and “You’re mad ’cause my style you’re admiring/Don’t be mad, UPS is hiring.”",302013,"['gangster rap', 'hardcore hip hop', 'hip hop', 'hip pop', 'rap']",57,422,"{'compound': -0.8201, 'neg': 0.135, 'neu': 0.791, 'pos': 0.074}",Flava in Ya Ear (Remix)',"Craig Mack, Roger Nichols, Paul Williams",1994,True,False,hip hop
Fiona Apple,"As 18-year-old Apple wrapped up work on her debut, Tidal, her label said the album needed one more commercial track (as labels are known to do). In 45 minutes, she whipped up what would become her only hit single, about “feeling bad for getting something so easily by using your sexuality.” A jagged piano bass line, searing strings, and a clattery beat contribute to a moody song that is tricky to pin down — self-critical yet self-satisfied, playful yet ominous, sulky yet seething.",341533,"['art pop', 'chamber pop', 'indie pop', 'lilith', 'permanent wave', 'piano rock', 'pop rock', 'singer-songwriter']",61,423,"{'compound': -0.5836, 'neg': 0.131, 'neu': 0.802, 'pos': 0.067}",Criminal',Fiona Apple,1996,False,True,pop
Blackstreet feat. Dr. Dre and Queen Pen,"No one wanted to record “No Diggity.” Teddy Riley introduced the idea for this R&B rump shaker to Aaron Hall during failed reunion talks for their pioneering New Jack group Guy; Hall passed. Riley’s then-current group, Blackstreet, didn’t like it either: He had to persuade them to do it, even singing the first verse as encouragement. With its old-school harmony vocals and a sample of some Bill Withers acoustic guitar, “No Diggity” became their biggest hit and a guaranteed floor filler ever since its release.",,,,424,"{'compound': 0.3612, 'neg': 0.06, 'neu': 0.852, 'pos': 0.087}",No Diggity',"Bill Withers, Chauncey Hannibal, Edward Theodore Riley, Lynise Walters, Richard Vick, William Stewart",1996,True,False,other
Muddy Waters,"Chess Records was a competitive place. After Muddy Waters issued “I’m a Hoochie Coochie Man,” Bo Diddley wrote a response, called “I’m a Man” — and two months after that, Waters wrote his own reply. “Then I got on it with ‘Mannish Boy’ and just drove him out of my way,” he recalled. (Diddley received a co-writing credit.) “Mannish Boy” became a British blues anthem for, among others, the Rolling Stones — a band Waters proudly called “some of my best friends.”",321133,"['blues', 'blues rock', 'chicago blues', 'classic rock', 'electric blues', 'soul', 'traditional blues']",62,425,"{'compound': 0.8591, 'neg': 0.0, 'neu': 0.879, 'pos': 0.121}",Mannish Boy',"Ellas McDaniel, McKinley Morganfield, Melvin London",1955,True,False,blues
Nicki Minaj,"Minaj had surprised fans of her raunchy, skills-flaunting mixtapes with the cotton-candy swirl of radio-friendly synths on her debut LP, Pink Friday. She was a new kind of popular rapper, one who could sing her own hooks without seeming soft. When that album didn’t produce a smash hit, this follow-up did the trick. It’s a dizzy celebration of objectifying and thirsting after boys hooked to a timeless “boom, badoom, boom, boom, badoom, boom, bass.” As Minaj described it at the time, it’s about when “you kind of want to get your mack on, but you’re taking the playful approach.”",200013,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']",78,426,"{'compound': 0.6712, 'neg': 0.026, 'neu': 0.894, 'pos': 0.081}",Super Bass',"Daniel Johnson, Esther Renay Dean, Jeremy Coleman, Onika Maraj, Roahn Hylton, Ester Dean",2010,True,True,pop
Sugar Hill Gang,"When New Jersey indie-label owner and R&B hitmaker Sylvia Robinson heard about rapping DJs from her son, she decided to get in on the action. The Sugarhill Gang, named for the label she co-owned with her husband, Joe, had no ties to the New York hip-hop scene, but with some help from Cold Crush Brothers’ Grandmaster Caz’s rhyme book, they laid out 14 minutes of silly stories and ingratiating style to a re-creation of Chic’s “Good Times” and changed the world.",875640,"['east coast hip hop', 'electro', 'funk', 'hip hop', 'hip house', 'new jersey rap', 'old school hip hop', 'rap']",30,427,"{'compound': 0.296, 'neg': 0.042, 'neu': 0.903, 'pos': 0.056}",Rapper's Delight',"Bernard Edwards, Gregory Rodgers, Nile Rodgers, The Sugarhill Gang",1979,True,False,hip hop
Harry Styles,"When the One Direction heartthrob announced he was going solo, nobody quite expected his first single to be a sweeping, glammy piano ballad. Cut in all of three hours, “Sign of the Times” is full of falsetto verses, choral background vocals, and deep-focus guitar fuzz. “The song is written from a point of view as if a mother was giving birth to a child and there’s a complication,” Styles said. “The mother is told, ‘The child is fine, but you’re not going to make it.’ The mother has five minutes to tell the child, ‘Go forth and conquer.’”",340706,"['pop', 'post-teen pop']",79,428,"{'compound': 0.1406, 'neg': 0.016, 'neu': 0.951, 'pos': 0.033}",Sign of the Times',"Alex Salibian, Harry Styles, Mitch Rowland, Ryan Nasci, Tyler Johnson, Jeff Bhasker",2017,False,False,pop
Queen and David Bowie,"Queen was in a Swiss studio recording their album Hot Space when they bumped into Bowie, who was in the same studio working on a song for the horror movie Cat People. This epic anthem of resistance against the forces of everyday exhaustion evolved out of an impromptu jam, with Bowie scatting his vocals on the fly. “Everybody just goes in there with no ideas, no notes, and sings the first thing that comes into their head over the backing track,” Queen guitarist Brian May recalled. “Then we compiled all the bits and pieces.”",246426,"['classic rock', 'glam rock', 'rock']",29,429,"{'compound': -0.8591, 'neg': 0.107, 'neu': 0.881, 'pos': 0.011}",Under Pressure',"Brian May, David Bowie, Freddie Mercury, John Deacon, Roger Taylor",1981,False,False,rock
Pete Rock and CL Smooth,"When “Trouble” T Roy, a dancer with Heavy D and the Boyz, died on tour in 1990, his pals — hip-hop producer Peter “Pete Rock” Philips and rapper Corey “CL Smooth” Penn — put together hip-hop’s most powerful elegy. Over a warm horn break sampled from composer Tom Scott, Smooth kicks conversational rhymes about love, music, family, memory, and friendship, beautifully honoring their late buddy. “When we listened back to the record, we just started crying,” Pete Rock recalled. “When I felt like that, I was like, ‘This is it.’ Deep in my heart I felt like this was gonna be something big.”",286693,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'turntablism']",59,430,"{'compound': 0.9682, 'neg': 0.032, 'neu': 0.736, 'pos': 0.233}",They Reminisce Over You',"Maxwell Dixon, Peter Phillips",1992,True,False,hip hop
Prince,"It shows just how jam-packed Prince’s double LP Sign O’ the Times was that its awe-kissed finale, the gospel-drenched slow jam “Adore,” wasn’t a single. But that doesn’t mean the song never got radio airplay — in fact, that’s part of why he recorded it. “Adore” was written to answer criticism that Prince had lost interest in the Black audience. It was aimed at quiet storm, the adult R&B format as heavy on album tracks as on singles — where, as intended, it got substantial play.",394864,"['funk', 'funk rock', 'minneapolis sound', 'synth funk']",45,431,"{'compound': 0.3612, 'neg': 0.072, 'neu': 0.829, 'pos': 0.099}",Adore',Prince,1987,True,False,funk
Eddie Cochran,"Cochran’s label tried molding him into a crooning teen idol, but he made his mark with a string of rockabilly ravers written with partner Jerry Capehart. Explaining the inspiration for this classic, Capehart said, “There had been a lot of songs about summer, but none about the hardships of summer.” With that idea and a guitar lick from Cochran, they knocked out the song in 45 minutes. It’s one of rock’s first great alienated-teen anthems, with an absurdist political element that resonated with future hard rockers, including the Who and Blue Cheer, who are among the many bands to cover it.",119360,"['adult standards', 'brill building pop', 'rock-and-roll', 'rockabilly']",62,432,"{'compound': 0.9442, 'neg': 0.015, 'neu': 0.851, 'pos': 0.134}",Summertime Blues',"Eddie Cochran, Jerry Capehart",1958,False,False,pop
Pet Shop Boys,"Inspired in equal parts by the hip-hop social commentary of “The Message,” the abstract imagery of T.S. Eliot’s The Waste Land, and a late-night viewing of an old Jimmy Cagney gangster flick, Neil Tennant turned the eye of a detached observer on British club life for the pop duo’s career-making single. Rarely has a synth-bass been as eloquent as the one that underlines this chorus. And in five words, Tennant later summed up not just the song but the Boys’ whole early aesthetic: “It’s about sex. It’s paranoid.”",285733,"['art pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",68,433,"{'compound': -0.0129, 'neg': 0.036, 'neu': 0.94, 'pos': 0.024}",West End Girls',"Chris Lowe, Neil Tennant",1984,False,False,pop
Ramones,"The Ramones’ ode to the liberating power of punk and the unsinkable spirit of their native New York appeared both as a single that actually hit the charts (at Number 81) and as a slicker, remixed cut on their comparatively high-budget third LP, Rocket to Russia. Joey Ramone took the title from the golden-age comic book Sheena, Queen of the Jungle. “I combined Sheena, Queen of the Jungle, with the primalness of punk rock,” he said. “It was funny, because all the girls in New York seemed to change their names to Sheena after that.”",169920,"['classic rock', 'early us punk', 'permanent wave', 'punk', 'rock', 'skate punk']",58,434,"{'compound': 0.4939, 'neg': 0.022, 'neu': 0.903, 'pos': 0.075}",Sheena Is a Punk Rocker',"Dee Dee Ramone, Joey Ramone, Johnny Ramone, Tommy Ramone",1977,False,False,rock
Rush,"Rush drummer Neil Peart tackled the trap of rock-star fame without sounding like a spoiled rock-star misanthrope — and, a little ironically, ended up writing one of the Canadian prog-rock trio’s biggest arena hits. “Limelight” sanded down the knottier edges of its 7/4 riff to sound at home on FM radio, as Geddy Lee sang about feeling “ill-equipped to act/With insufficient tact,” making no apologies for their brainy aspirations. “I didn’t want to be famous,” Peart observed years later. “I wanted to be good. And that’s a whole other thing.”",259839,"['album rock', 'art rock', 'canadian metal', 'classic canadian rock', 'classic rock', 'hard rock', 'metal', 'progressive rock', 'rock']",63,435,"{'compound': 0.2477, 'neg': 0.07, 'neu': 0.839, 'pos': 0.091}",Limelight',"Alex Lifeson, Geddy Lee, Neil Peart",1981,False,False,rock
Carly Rae Jepsen,"A Canadian pop star mostly unknown in the U.S., Jepsen said she initially wrote the inescapable hit that ruled the radio in 2012 as a “folk song.” Once it was restructured, with giddy string breaks, it caught the ears of reigning pop-power couple Justin Bieber, who tweeted that it was “possibly the catchiest song I’ve ever heard lol,” and Selena Gomez, who said, “This smile is because of Carly Rae Jepsen. We have not stopped listening to your song girl!” Sometimes even a classic needs a little push.",193400,"['canadian pop', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop']",69,436,"{'compound': 0.4325, 'neg': 0.018, 'neu': 0.93, 'pos': 0.051}",Call Me Maybe',"Carly Rae Jepsen, Josh Ramsay, Tavish Crowe",2012,False,True,pop
Lucinda Williams,"As Williams struggled to find a place in the pigeonhole-happy music industry of the Eighties, she landed on the British punk label Rough Trade and recorded a self-titled album anchored by this raw-voiced demand for not only kisses but also homelier needs like “pens that don’t run out of ink.” Three years later, Mary Chapin Carpenter turned it into a Grammy-winning country hit that also crossed over to pop and adult contemporary, making it Williams’ best-known song. “When I get to the line ‘It’s my right,’ all the women in the audience yell out and go nuts,” Williams has said. “I love it.”",158280,"['alternative country', 'country rock', 'folk', 'folk rock', 'heartland rock', 'indie folk', 'lilith', 'mellow gold', 'new americana', 'outlaw country', 'roots rock', 'singer-songwriter']",34,437,"{'compound': 0.8047, 'neg': 0.045, 'neu': 0.872, 'pos': 0.084}",Passionate Kisses',Lucinda Williams,1988,False,True,rock
Megan Thee Stallion feat. Beyoncé,"A Houston summit meeting: the skyrocketing MC Megan Thee Stallion’s breakout single, remixed with the city’s — and R&B’s — reigning queen confidently spitting a few quick bars to remind us that, if she really wanted to, she could rap circles around your favorite MC as a full-time job. When Beyoncé confirmed her guest spot was on, Megan said, “I cried — like, I had to call my grandma.” But just her grandma: The collaboration — which hit Number One on its own — was kept under wraps until the last second: “I didn’t even tell my best friend.”",242000,"['houston rap', 'pop', 'pop rap', 'trap queen']",64,438,"{'compound': 0.882, 'neg': 0.018, 'neu': 0.85, 'pos': 0.132}",Savage (Remix)',"Megan Pete, Anthony White, Beyoncé Knowles, Bobby Session Jr., Terius Nash, Brittany Starrah Hazzard, Derrick Milano, Jorden Kyle Lanier Thorpe, Shaun Carter,",2020,True,True,hip hop
Celia Cruz,"Celia Cruz had a voice that combined opulent, operatic tones with the Afro-Cuban call-and-response style of pregón — and her legendary roar was at its most august and powerful extolling the joy of being alive on 1998’s triumphant “La Vida Es un Carnaval.” The song was especially potent coming from Cruz, who came to New York and helped shape the salsa movement following a painful exile from Cuba in the Sixties. “La Vida Es un Carnaval” became a life-giving anthem for audiences and marked a stunning final act of her formidable career.",278866,"['cha-cha-cha', 'cuban rumba', 'latin', 'mambo', 'musica tradicional cubana', 'salsa', 'tropical']",66,439,"{'compound': 0.9112, 'neg': 0.029, 'neu': 0.815, 'pos': 0.156}",La Vida Es un Carnaval',Victor Daniel,1998,True,True,world
Alicia Keys,"Saddened by the tragic 2001 death of R&B singer Aaliyah, Keys composed this moving expression of her loss, bringing the organic-feeling lushness of Seventies R&B balladry into the digitized 21st century. She was on such a creative roll at the time of her album The Diary of Alicia Keys that she almost gave the song away to Christina Aguilera, until her A&R rep Peter Edge intervened. “I was like, ‘Why? I’ll write a hundred more,’” she recalled telling him. “I’m kinda glad he made sure I didn’t do that.”",228706,"['hip pop', 'neo soul', 'pop', 'r&b', 'urban contemporary']",78,440,"{'compound': -0.4927, 'neg': 0.125, 'neu': 0.772, 'pos': 0.103}",If I Ain't Got You',Alicia Keys,2003,True,True,pop
Miranda Lambert,"For all her sass and swagger, country star Miranda Lambert’s finest moment is this bittersweet ballad, a moving evocation of home as a place you can return to, if only in memory. “The House That Built Me” is full of heart-tugging concrete imagery: the tiny bedroom where the narrator did her homework, the live oak under which her dog is buried. In the studio, Lambert set up photos of her childhood home to set the mood. “I just started bawling from the second I heard it,” she said. It still has the same power; the singer cried performing the song at a show in her home state of Texas in 2021.",236626,"['contemporary country', 'country', 'country dawn', 'country road']",66,441,"{'compound': -0.4543, 'neg': 0.036, 'neu': 0.964, 'pos': 0.0}",The House That Built Me',"Allen Shamblin, Tom Douglas",2010,False,True,folk
Motörhead,"With a galloping beat, assaultive riffs, and loads of distortion on pretty much everything, “Ace of Spades” is a lynchpin moment in English hard-rock’s evolution into a faster, harder, more brutish beast, adored by punks and metalheads alike. The double-time, chunka-chunka percussion that kicks in at around 1:12 is a reverbed wood block, a swinging flourish of detail amid the fury that was added at the suggestion of producer Vic Maile. “I’m glad we got famous for that rather than for some turkey,” bassist-growler Lemmy Kilmister said. “But I sang ‘the eight of spades’ for two years and nobody noticed.”",166920,"['album rock', 'alternative metal', 'hard rock', 'metal', 'rock', 'speed metal']",72,442,"{'compound': -0.2815, 'neg': 0.097, 'neu': 0.817, 'pos': 0.086}",Ace of Spades',"Eddie Clarke, Ian Kilmister, Phil Taylor",1980,False,False,rock
Fall Out Boy,"“I wrote the lyrics in Chicago,” bassist Pete Wentz told Rolling Stone of modern emo’s national anthem. “I was with my dad, and we were listening to the old music where they’d always say ‘sugar’ and ‘honey’ — stuff like that. I was like, ‘Why doesn’t anyone do that anymore?’” When Fall Out Boy did it, it signaled a sea change — emo, which had roots in confessional hardcore punk, had grown into a new and often highly theatrical kind of arena rock. But when Patrick Stump finishes the title phrase with the word “swinging,” it still makes the heart surge.",229093,"['emo', 'modern rock', 'pop punk']",77,443,"{'compound': 0.3612, 'neg': 0.0, 'neu': 0.964, 'pos': 0.036}","Sugar, We’re Goin Down'","Andy Hurley, Joe Trohman, Patrick Stump, Pete Wentz",2005,False,False,rock
